Index,Time,Acceleration X,Acceleration Y,Acceleration Z,Orientation X,Orientation Z,Punch,Raw Acceleration X,Raw Acceleration Y,Raw Acceleration Z
669,39.564,0.7704108018354936,0.054886010832724264,-0.26320447973626787,0.3197930737014733,-0.0250756483598189,,0.7954864501953125,-0.892303466796875,0.056488037109375
670,39.614,1.1270987772032968,-0.6408217321069778,0.03925820853496412,0.1615516082712792,-0.1205971456482657,,1.2476959228515625,-1.6204833984375,0.1996307373046875
671,39.664,0.8165564969074687,-0.36400492212614177,0.2858865531031923,0.2577787346622293,-0.1989311739909688,,1.0154876708984375,-1.3108978271484375,0.53851318359375
672,39.713,0.4044080931482802,0.007831921048422119,-0.15986623549551804,0.3239660284923014,-0.2266343873204698,,0.63104248046875,-0.9136199951171876,0.155670166015625
673,39.763,0.8411883260093347,0.5981054730493484,0.3381910601543361,0.4711745716584127,-0.2593518351234778,,1.1005401611328125,-0.253753662109375,0.793243408203125
674,39.813,-0.0385703830131674,0.05898220082769556,-0.021939116943269887,0.3486255559799629,-0.5225639132866049,,0.4839935302734375,-0.7401275634765625,0.275299072265625
675,39.863,-0.26892187791294475,0.2158177879169192,0.014450037813879199,-0.0668052299074848,-0.7792215605301323,,0.5102996826171875,-0.4095306396484375,-0.0274200439453125
676,39.913,0.36586182427239977,0.9862559070728857,0.42189815271525305,-0.0554871286383824,-0.8037548749463502,,1.16961669921875,0.3922119140625,0.388885498046875
677,39.963,0.09673976252439043,0.8912726738695224,0.34781507132988515,-0.117897688305978,-0.7804880206787346,,0.877227783203125,0.2704620361328125,0.27410888671875
678,40.082,0.5510484776484167,-1.5716203809232558,0.5611344597193018,-0.1798323950542922,-0.8911359705937708,,1.4421844482421875,-2.0179595947265625,0.4795379638671875
679,40.391,-3.8781920735303577,0.8622990247682129,-0.8002337154651751,-0.2134210219831164,-0.9918700520459828,,-2.886322021484375,0.73797607421875,-0.827392578125
680,40.441,-0.9467917965057171,0.009059989586874831,1.1705566201826805,-0.2194132741347118,-0.9990531490447796,Straight,0.0522613525390625,-0.03338623046875,1.1610107421875
681,40.491,0.6681173720663282,0.02844566629089687,1.1303692490424533,-0.3197380859880129,-0.9874002060586718,,1.655517578125,-0.121490478515625,1.07977294921875
682,40.541,0.0002327913318843633,-0.2705628205175187,1.3771340669618515,-0.5821428147811479,-0.9792593961681156,,0.9794921875,-0.435302734375,1.259185791015625
683,40.591,0.8932697261304087,0.09700118990180653,-1.3311144034195814,-0.8261660482873594,-0.9500682865649038,,1.8433380126953125,-0.0788116455078125,-1.5889129638671875
684,40.64,-0.08101616372512943,-0.6218835157287237,0.8745127746770467,-0.6151065561727082,-0.9723430680220044,,0.891326904296875,-0.8060302734375,0.7308502197265625
685,40.69,-0.43632057846521,-0.6630197297985233,0.8638242380615709,-0.5488216113348017,-0.97703102768396,,0.54071044921875,-0.841156005859375,0.7468719482421875
686,40.74,0.15851373886950237,-0.45980144250045674,0.425254031920375,-0.5280202171645949,-0.9774115540992476,,1.13592529296875,-0.6392822265625,0.31365966796875
687,40.79,0.036162028233981625,-0.8555688552475398,0.6623456005700402,-0.415427314339819,-0.9751599932503934,,1.011322021484375,-1.0570526123046875,0.5703277587890625
688,40.84,-0.4062635956947336,-0.8050176396647983,0.3314725016300324,-0.3695707661889034,-0.9781324921791086,,0.571868896484375,-0.9982757568359376,0.254608154296875
689,40.89,-0.13906792444747784,0.09231755906237216,-0.06762848597471166,0.5909598105839364,-0.7721703414396653,,0.6331024169921875,-0.4202728271484375,0.3078765869140625
690,40.939,-0.004943406335585099,0.5153384571229858,-0.2674817274781997,0.582338356485475,-0.7836909649293351,,0.77874755859375,0.0103759765625,0.09423828125
691,40.989,-0.27853721699449385,0.4615957740151929,-0.21777741015437224,0.5710172953028193,-0.7627596291038689,,0.484222412109375,-0.0692901611328125,0.1514892578125
692,41.039,-0.5049217607689289,0.37134443140836204,-0.1329242725456037,0.3370137182199889,-0.7880638506126789,,0.28314208984375,-0.2082366943359375,0.0745391845703125
693,41.089,-0.071409999861416,0.3670712395826631,-0.2944969462452458,0.625782756167964,-0.150023281111416,,0.07861328125,-0.4040985107421875,0.3242034912109375
694,41.139,0.19697978836001412,-0.2285482636145828,0.30004324878119526,0.6419148237201433,-0.0846974577337359,,0.28167724609375,-0.9925689697265624,0.9396514892578124
